"fdd_ingredient","orig_food_common_name","score","method","food_id","food_public_id","food_name","orig_food_id","food_V2_ID"
"Spices, nutmeg, ground","spices nutmeg ground",1,"tfidf",118,"FOOD00118","Nutmeg","02025",930
"Peaches, cooked","peach",0.899519893513325,"tfidf",149,"FOOD00149","Peach","792",103
"Fish, mullet, raw","fish mullet striped raw",0.777587921707931,"tfidf",418,"FOOD00412","Striped mullet","15055",2708
"Mollusks, clam, canned","mollusks clam mixed species canned liquid",0.731743071584949,"tfidf",544,"FOOD00531","Bivalvia (Clam, Mussel, Oyster)","15162",3967
"Spices, pumpkin pie spice","spices pumpkin pie spice",1,"tfidf",50,"FOOD00050","Chinese cinnamon","02035",6664
"Milk, whole, evaporated","evaporated milk",0.901129493547586,"tfidf",824,"FOOD00798","Evaporated milk","",9853
"Fish, ocean perch, raw","fish ocean perch atlantic raw",0.880179600630249,"tfidf",295,"FOOD00294","Painted comber","15057",2389
"Persimmons, raw","persimmons raw",1,"tfidf",437,"FOOD00429","Common persimmon","",8890
"Beans, mung, mature, sprouted, raw","mung beans mature seeds sprouted raw",0.940804499819576,"tfidf",200,"FOOD00200","Mung bean","11043",1566
"Cheese, queso seco","cheese dry white queso seco",0.912251517531422,"tfidf",631,"FOOD00617","Cheese","01227",4789
"Mustard greens, canned/cooked","mustard greens",0.873254823537451,"tfidf",27,"FOOD00027","Chinese mustard","171",19
"Peppers, sweet/bell, canned","bell pepper",0.824078318503307,"tfidf",40,"FOOD00040","Pepper","207",26
"Beans, mung, mature, sprouted, canned","mung beans mature seeds sprouted raw",0.874510729735823,"tfidf",200,"FOOD00200","Mung bean","11043",1566
"Lambsquarters, cooked","lambsquarters",0.941897482455897,"tfidf",399,"FOOD00394","Lambsquarters","",9740
"Deer, lean and fat, cooked","deer",0.824098738765584,"tfidf",535,"FOOD00524","Deer","",9862
"Beans, pink, mature, raw (consumed cooked/heat-treated)","beans pink mature seeds raw",0.632956238195956,"tfidf",134,"FOOD00134","Common bean","16040",1098
"Turnips, cooked","turnip",0.919649599129761,"tfidf",36,"FOOD00036","Turnip","",9548
"Fish, carp, cooked","fish carp raw",0.919644478819796,"tfidf",327,"FOOD00322","Common carp","15008",2458
"Mushrooms, cooked","mushroom raw",0.803908733293683,"tfidf",561,"FOOD00547","Common mushroom","0037",4455
"Luffa/loofah, cooked","luffa",0.953689807699502,"tfidf",503,"FOOD00492","Towel gourd","572",203
"Bran, wheat","wheat bran",1,"tfidf",575,"FOOD00561","Wheat","0086",4489
"Bananas, dehydrated","bananas dehydrated banana powder",0.886449391970682,"tfidf",208,"FOOD00208","Banana","09041",1668
"Cornmeal, whole grain","cornmeal whole grain white",0.924827046899342,"tfidf",205,"FOOD00205","Corn","20320",1648
"Fish, mackerel, smoked","mackerel smoked",0.899922957512146,"tfidf",600,"FOOD00586","Scombridae (Bonito, Mackerel, Tuna)","0177",4567
"Spices, fennel seed","spices fennel seed",1,"tfidf",82,"FOOD00082","Fennel","02018",751
"Pigeonpeas, immature, canned","pigeonpeas immature seeds raw",0.847013165597724,"tfidf",37,"FOOD00037","Pigeon pea","11344",460
"Duck, lean and fat, cooked","fat duck",0.881850171790363,"tfidf",704,"FOOD00682","Other animal fat","04574",6799
"Jellyfish, dried","jellyfish dried salted",0.846362719274821,"tfidf",579,"FOOD00565","Jellyfish","43497",4530
"Beans, mung, mature, sprouted, canned/cooked","mung beans mature seeds sprouted raw",0.85133434109385,"tfidf",200,"FOOD00200","Mung bean","11043",1566
"Pears, canned/cooked (pears only)","pear canned",0.935107247308871,"tfidf",152,"FOOD00152","Pear","0215",1280
"Cranberries, raw","cranberries raw",1,"tfidf",192,"FOOD00192","American cranberry","09078",1538
"Figs, raw","figs raw",1,"tfidf",81,"FOOD00081","Fig","0632",741
"Beet greens, cooked","beet greens raw",0.90218148285589,"tfidf",25,"FOOD00025","Common beet","11086",360
"Beef, variety meat, liver, cooked","beef variety meats by products liver cooked braised",0.75503433374839,"tfidf",506,"FOOD00495","Cattle (Beef, Veal)","13326",3018
"Soursop, canned/cooked (soursop only)","soursop",0.966703390297145,"tfidf",488,"FOOD00478","Soursop","91",197
"Seaweed, laver, raw","seaweed laver raw",1,"tfidf",563,"FOOD00549","Purple laver","11446",4473
"Fish, salmon, smoked","salmon smoked",0.880460060338107,"tfidf",504,"FOOD00493","Salmonidae (Salmon, Trout)","0137",2919
"Broccoli, cooked","broccoli",0.90313894511704,"tfidf",34,"FOOD00034","Broccoli","",9038
"Cheese, romano","cheese romano",1,"tfidf",631,"FOOD00617","Cheese","01038",4768
"Egg, white, raw","egg white raw frozen",0.873777990108808,"tfidf",633,"FOOD00619","Eggs","01172",4872
"Tea, herbal, leaves/flowers/seeds","herbal tea",1,"tfidf",1021,"FOOD00989","Herbal tea","",9909
"Pineapple, canned/cooked (pineapple only)","pineapple canned",0.945647431777964,"tfidf",12,"FOOD00012","Pineapple","0004",261
"Plums, cooked","plum",0.908908411767301,"tfidf",147,"FOOD00147","European plum","789",101
"Spices, cumin","spices cumin seed",0.925075928071623,"tfidf",67,"FOOD00067","Cumin","02014",701
"Egg, yolk, raw","egg yolk",0.953940972475217,"tfidf",951,"FOOD00919","Egg yolk","",9890
"Fennel bulb, raw","fennel bulb raw",1,"tfidf",82,"FOOD00082","Fennel","11957",752
"Cheese, cheddar","cheese cheddar",1,"tfidf",631,"FOOD00617","Cheese","01009",4739
"Juice, orange","orange juice raw",0.931673547470814,"tfidf",57,"FOOD00057","Sweet orange","09206",599
"Flour, millet","millet flour",1,"tfidf",126,"FOOD00126","Millet","20647",989
"Juice, papaya","papaya",0.869815871510509,"tfidf",41,"FOOD00041","Papaya","209",27
"Tea, green, leaves","tea leaves",0.849716586554292,"tfidf",38,"FOOD00038","Tea","0304",466
"Fish, cod, dried","fish cod atlantic dried salted",0.715095609934398,"tfidf",343,"FOOD00338","Atlantic cod","15018",2514
"Cheese, cottage","cheese cottage with vegetables",0.873565174648614,"tfidf",631,"FOOD00617","Cheese","43273",4799
"Corn hominy, cooked","hominy canned white",0.664051674611904,"tfidf",205,"FOOD00205","Corn","20030",1643
"Flour, teff","teff",0.853256205730385,"tfidf",500,"FOOD00489","Teff","",9756
"Artichokes, (globe or french), raw","artichokes globe french raw",1,"tfidf",71,"FOOD00071","Globe artichoke","11007",706
"Cornmeal, degermed","cornmeal degermed enriched white",0.84099486968502,"tfidf",205,"FOOD00205","Corn","20322",1649
"Artichokes, (globe or french), cooked","artichokes globe french raw",0.946961527722677,"tfidf",71,"FOOD00071","Globe artichoke","11007",706
"Juice, tamarind","tamarind",0.879957684673524,"tfidf",180,"FOOD00180","Tamarind","",9501
"Cocoa, dry powder, unsweetened","cocoa dry powder unsweetened",1,"tfidf",707,"FOOD00685","Cocoa powder","19165",6813
"Milk, human","human milk mature",0.883835823207827,"tfidf",687,"FOOD00666","Milk (Human)","1303",5766
"Endive, raw","endive raw",1,"tfidf",48,"FOOD00048","Endive","11213",561
"Honey","honey",1,"tfidf",643,"FOOD00626","Honey","0081",4983
"Tamarind, cooked","tamarind",0.941897482455897,"tfidf",180,"FOOD00180","Tamarind","",9501
"Bran, corn","corn bran crude",0.717905226374321,"tfidf",205,"FOOD00205","Corn","20015",1632
"Rhubarb, canned/cooked (rhubarb only)","rhubarb",0.956477641395997,"tfidf",154,"FOOD00154","Garden rhubarb","847",108
"Peas, green, canned","peas green canned",1,"tfidf",141,"FOOD00141","Common pea","0344",1150
"Blueberries, canned (blueberries only)","blueberry",0.954772672849784,"tfidf",191,"FOOD00191","Highbush blueberry","1038",133
"Seaweed, kelp, raw","seaweed kelp raw",1,"tfidf",396,"FOOD00391","Kelp","11445",2661
"Bran, rice","rice bran",1,"tfidf",125,"FOOD00125","Rice","1023",944
"Fish, haddock, smoked","fish haddock smoked",1,"tfidf",379,"FOOD00374","Haddock","15035",2608
"Chicory root powder","chicory roots",0.895857694614351,"tfidf",254,"FOOD00254","Chicory roots","",9694
"Cheese, swiss, low fat/nonfat","cheese swiss low fat",0.836261737674102,"tfidf",631,"FOOD00617","Cheese","43589",4808
"Caribou, lean and fat, cooked","stew/soup caribou alaska native",0.54255207758185,"tfidf",749,"FOOD00724","Stew","35024",7242
"Papayas, canned (papaya only)","papaya",0.973335099552256,"tfidf",41,"FOOD00041","Papaya","209",27
"Nectarines, raw","nectarines raw",1,"tfidf",229,"FOOD00229","Nectarine","09191",1673
"Fish, porgy/scup, cooked","fish scup raw",0.92330486267353,"tfidf",473,"FOOD00463","Scup","15090",2843
"Plums, canned (plums only)","plum",0.960797581919686,"tfidf",147,"FOOD00147","European plum","789",101
"Wine, table, red","wine table red",1,"tfidf",943,"FOOD00911","Red wine","",9446
"Squash, summer, canned","summer squash",0.924384036819645,"tfidf",66,"FOOD00066","Cucurbita","328",47
"Lemon peel, cooked","lemon peel raw",0.913211611645448,"tfidf",54,"FOOD00054","Lemon","0834",573
"Beets, canned/cooked","beet",0.83301075790248,"tfidf",264,"FOOD00264","Red beetroot","157",143
"Limes, raw","limes raw",1,"tfidf",557,"FOOD00543","Persian lime","09159",4447
"Passion-fruit, (granadilla), purple, raw","passion fruit granadilla purple raw",1,"tfidf",128,"FOOD00128","Passion fruit","09231",994
"Watermelon, raw","watermelon raw",1,"tfidf",52,"FOOD00052","Watermelon","0186",569
"Carambola (starfruit), raw","carambola starfruit raw",1,"tfidf",23,"FOOD00023","Star fruit","09060",353
"Peas, green, raw","peas green raw",1,"tfidf",141,"FOOD00141","Common pea","0342",1152
"Burdock root, cooked","burdock root raw",0.934430669705113,"tfidf",17,"FOOD00017","Burdock","11104",325
"Fish, ray, cooked","fishes",0.840606316644728,"tfidf",896,"FOOD00865","Fishes","",9850
"Currants, raw","currants white raw",0.872352717203695,"tfidf",156,"FOOD00156","Redcurrant","",8829
"Mollusks, clam, canned/cooked","mollusks clam mixed species canned liquid",0.702896150438833,"tfidf",544,"FOOD00531","Bivalvia (Clam, Mussel, Oyster)","15162",3967
"Squirrel, lean and fat, cooked","squirrel ground meat alaska native",0.571367683686145,"tfidf",539,NA,NA,"35075",3955
"Whey, dried","whey sweet dried",0.879933505986252,"tfidf",679,"FOOD00658","Whey","0514",5711
"Leeks, (bulb and lower-leaf portion), raw","leeks bulb lower leaf portion raw",1,"tfidf",401,"FOOD00396","Wild leek","11246",2671
"Coriander (cilantro) leaves, raw","coriander cilantro leaves raw",1,"tfidf",61,"FOOD00061","Coriander","11165",630
"Papayas, raw","papayas raw",1,"tfidf",41,"FOOD00041","Papaya","09226",532
"Beets, canned","beet",0.887251735815431,"tfidf",264,"FOOD00264","Red beetroot","157",143
"Seeds, sesame, dried/roasted","sesame seeds whole dried",0.809117239841882,"tfidf",170,"FOOD00170","Sesame","0657",1353
"Plums, canned/cooked (plums only)","plum",0.938278629266897,"tfidf",147,"FOOD00147","European plum","789",101
"Tomato puree, canned/cooked","tomato puree",0.886909755477238,"tfidf",171,"FOOD00171","Garden tomato","0310",1370
"Chicken, variety meat, giblets (incl liver/gizzard), cooked","gizzard chicken raw",0.696715326217576,"tfidf",334,"FOOD00329","Chicken","",9009
"Spices, pepper, black","spices pepper black",1,"tfidf",139,"FOOD00139","Pepper (Spice)","02030",1143
"Flour, corn, masa","corn masa flour masa harina",0.850971851701184,"tfidf",205,"FOOD00205","Corn","",9130
"Guava, cooked","guava",0.928395672346731,"tfidf",150,"FOOD00150","Guava","796",104
"Fish, shark, cooked","fish shark mixed species raw",0.722475945088662,"tfidf",481,"FOOD00471","Shark","15095",2867
"Artichokes, (globe or french), canned/cooked","artichokes globe french raw",0.908370442169038,"tfidf",71,"FOOD00071","Globe artichoke","11007",706
"Egg, duck, cooked","egg duck whole raw",0.8242911519724,"tfidf",633,"FOOD00619","Eggs","1033",4844
"Strawberries, cooked","strawberry",0.897100314575567,"tfidf",83,"FOOD00083","Strawberry","70",8343
"Spinach, cooked","spinach",0.913519671851138,"tfidf",178,"FOOD00178","Spinach","957",124
"Collards, cooked","collards raw",0.88699501212466,"tfidf",247,"FOOD00247","Black cabbage","11161",1684
"Kale, canned","kale canned",1,"tfidf",395,"FOOD00390","Kale","0513",2651
"Cream, sour","sour cream light",0.812131639647795,"tfidf",669,"FOOD00650","Cream","01179",5511
"Cherries, canned (cherries only)","cherry raw",0.85281821068245,"tfidf",143,"FOOD00143","Prunus (Cherry, Plum)","0121",1184
"Seaweed, wakame, cooked","seaweed wakame raw",0.94303988662441,"tfidf",564,"FOOD00550","Wakame","11669",4474
"Cheese, limburger","cheese limburger",1,"tfidf",631,"FOOD00617","Cheese","01024",4754
"Capers, canned","capers canned",1,"tfidf",39,"FOOD00039","Capers","02054",488
"Lemon peel, raw","lemon peel raw",1,"tfidf",54,"FOOD00054","Lemon","0834",573
"Spices, pepper, red/cayenne","spices pepper red cayenne",1,"tfidf",40,"FOOD00040","Pepper","02031",497
"Cheese, muenster","cheese muenster",1,"tfidf",631,"FOOD00617","Cheese","01030",4760
"Beans, pinto, mature, canned/cooked","beans pinto mature seeds raw",0.800196034877958,"tfidf",134,"FOOD00134","Common bean","16042",1100
"Nuts, brazilnuts, unroasted","nuts brazilnuts dried unblanched",0.542683769088404,"tfidf",24,"FOOD00024","Brazil nut","12078",355
"Spices, turmeric, ground","spices turmeric ground",1,"tfidf",68,"FOOD00068","Turmeric","02043",702
"Broccoli, Chinese, raw","broccoli chinese raw",1,"tfidf",335,"FOOD00330","Chinese broccoli","",9406
"Milk, buttermilk, 1% fat, fluid","milk buttermilk fluid whole",0.877689138841312,"tfidf",714,"FOOD00692","Buttermilk","01230",6863
"Nuts, pistachio, unroasted","nuts pistachio nuts raw",0.651469539482284,"tfidf",140,"FOOD00140","Pistachio","12151",1147
"Apples, dried","apple dried",1,"tfidf",105,"FOOD00105","Apple","0338",887
"Kohlrabi, raw","kohlrabi raw",1,"tfidf",33,"FOOD00033","Kohlrabi","0660",423
"Peas, green, cooked","peas green raw",0.876944646920989,"tfidf",141,"FOOD00141","Common pea","0342",1152
"Lettuce, leaf, raw","lettuce red leaf raw",0.896278968209712,"tfidf",95,"FOOD00095","Lettuce","11257",861
"Cabbage, canned","cabbage",0.854015400562366,"tfidf",881,"FOOD00851","Cabbage","176",217
"Lettuce, cos/romaine, raw","romaine lettuce",0.969284738734152,"tfidf",920,"FOOD00888","Romaine lettuce","",9639
"Chard, Swiss, raw","chard swiss raw",1,"tfidf",237,"FOOD00237","Swiss chard","0666",1675
"Squash, winter, raw","winter squash",0.953635412070508,"tfidf",284,"FOOD00283","Winter squash","",9555
"Grapes, cooked","grape",0.893466065976166,"tfidf",374,"FOOD00369","Grape","",9547
"Seaweed, agar, dried","seaweed agar dried",1,"tfidf",285,"FOOD00284","Agar","11663",2365
"Popcorn, air-popped","snacks popcorn air popped",0.941205236489203,"tfidf",744,"FOOD00719","Popcorn","19034",7185
"Cabbage, raw","cabbage raw",1,"tfidf",30,"FOOD00030","Common cabbage","11109",388
"Leeks, (bulb and lower-leaf portion), cooked","leeks bulb lower leaf portion raw",0.972018806509842,"tfidf",401,"FOOD00396","Wild leek","11246",2671
"Blueberries, canned/cooked (blueberries only)","blueberry",0.929169102079006,"tfidf",191,"FOOD00191","Highbush blueberry","1038",133
"Mushrooms, raw","mushroom raw",1,"tfidf",561,"FOOD00547","Common mushroom","0037",4455
"Peas, green, mature (split), uncooked (consumed cooked/heat-treated)","peas green split mature seeds raw",0.616555913853424,"tfidf",141,"FOOD00141","Common pea","",8758
"Cress, cooked","garden cress",0.721167119174222,"tfidf",99,"FOOD00099","Garden cress","556",70
"Cress, canned","garden cress",0.698579522617119,"tfidf",99,"FOOD00099","Garden cress","556",70
"Mollusks, clam, raw","mollusks clam mixed species raw",0.776535902027799,"tfidf",544,"FOOD00531","Bivalvia (Clam, Mussel, Oyster)","15157",3963
"Broccoli, canned","broccoli",0.858242282194505,"tfidf",34,"FOOD00034","Broccoli","",9038
"Spices, coriander leaf, dried","spices coriander leaf dried",1,"tfidf",61,"FOOD00061","Coriander","02012",628
"Spices, mustard seed, ground","spices mustard seed ground",1,"tfidf",420,"FOOD00413","White mustard","02024",2710
"Wine, table, NS as to red/white","wine table red",0.912006074783321,"tfidf",943,"FOOD00911","Red wine","",9446
"Tomatillos, cooked","tomatillo",0.949783092198908,"tfidf",502,"FOOD00491","Mexican groundcherry","727",202
"Collards, raw","collards raw",1,"tfidf",247,"FOOD00247","Black cabbage","11161",1684
"Turnips, raw","turnip raw",1,"tfidf",36,"FOOD00036","Turnip","0149",442
"Peas, edible-podded, cooked","peas edible podded raw",0.950003301234508,"tfidf",141,"FOOD00141","Common pea","11300",1155
"Beans, lima, mature, cooked","lima bean",0.808611878751985,"tfidf",133,"FOOD00133","Lima bean","",9480
"Nuts, coconut water (liquid from coconuts)","nuts coconut water liquid from coconuts",1,"tfidf",341,"FOOD00336","Coconut","12119",2505
"Spices, celery seed","spices celery seed",1,"tfidf",15,"FOOD00015","Wild celery","02007",284
"Celeriac, cooked","celeriac",0.938087828956234,"tfidf",214,"FOOD00214","Celeriac","",9664
"Cabbage, Chinese, cooked","chinese cabbage",0.946366569126052,"tfidf",35,"FOOD00035","Chinese cabbage","",9546
"Spices, thyme, dried","spices thyme dried",1,"tfidf",183,"FOOD00183","Common thyme","02042",1517
"Syrup, maple","syrups maple",1,"tfidf",695,"FOOD00673","Syrup","19353",6686
"Fish, sardines, cooked","fish oil sardine",0.849137130197575,"tfidf",531,"FOOD00520","Clupeinae (Herring, Sardine, Sprat)","04594",3917
"Yam, cooked","yam",0.9320728262936,"tfidf",519,"FOOD00508","Yam","",9467
"Yambean (jicama), raw","yambean jicama raw",1,"tfidf",520,"FOOD00509","Jicama","11603",3865
"Spices, marjoram, dried","spices marjoram dried",1,"tfidf",122,"FOOD00122","Sweet marjoram","02023",942
"Chard, Swiss, cooked","swiss chard",0.96149313873124,"tfidf",237,"FOOD00237","Swiss chard","",9645
"Juice, tangerine/clementine/mandarin orange, concentrate","mandarin orange clementine tangerine",0.902712398703286,"tfidf",56,"FOOD00056","Mandarin orange (Clementine, Tangerine)","",9499
"Grapefruit, canned (grapefruit only)","grapefruit",0.963947138499598,"tfidf",256,"FOOD00256","Grapefruit","11",8515
"Mollusks, mussels, raw","mollusks mussel blue raw",0.846119975259011,"tfidf",307,"FOOD00304","Blue mussel","15164",2416
"Ostrich, lean and fat, cooked","ostrich",0.838558121937361,"tfidf",430,"FOOD00422","Ostrich","",9861
"Cranberries, cooked","cranberry",0.909533660009125,"tfidf",192,"FOOD00192","American cranberry","",9193
"Cranberries, canned/cooked (cranberries only)","cranberry",0.938722557496244,"tfidf",192,"FOOD00192","American cranberry","",9193
"Balsam-pear (bitter melon/gourd), pods, cooked","balsam pear bitter gourd pods raw",0.884371313625492,"tfidf",115,"FOOD00115","Bitter gourd","11024",923
"Amaranth grain, uncooked (consumed cooked/heat-treated)","amaranth grain uncooked",0.747335930533624,"tfidf",289,"FOOD00288","Amaranth","",9401
"Oranges, cooked","orange",0.890488049962519,"tfidf",57,"FOOD00057","Sweet orange","282",40
"Melon, casaba, raw","melons casaba raw",1,"tfidf",64,"FOOD00064","Muskmelon","09183",636
"Spices, curry powder","spices curry powder",1,"tfidf",700,"FOOD00678","Curry powder","02015",6703
"Beans, kidney, mature, canned/cooked","beans kidney all types mature seeds canned",0.749741241228508,"tfidf",134,"FOOD00134","Common bean","16029",1087
"Tomatoes, dried","tomato dried",1,"tfidf",171,"FOOD00171","Garden tomato","1478",1372
"Syrup, agave","agave",0.837548789808703,"tfidf",577,"FOOD00563","Agave","",9776
"Onions, raw","onions raw",1,"tfidf",226,"FOOD00226","Garden onion (var.)","11282",227
"Peas, green, dehydrated","peas green raw",0.692076690305229,"tfidf",141,"FOOD00141","Common pea","0342",1152
"Bison, lean and fat, cooked","bison",0.861571271294921,"tfidf",303,"FOOD00301","Bison","",9864
"Fish, carp, smoked","fish carp raw",0.822431315597835,"tfidf",327,"FOOD00322","Common carp","15008",2458
"Brussels sprouts, cooked","brussels sprouts",0.962600962371921,"tfidf",32,"FOOD00032","Brussel sprouts","",9154
"Tamarind, raw","tamarinds raw",1,"tfidf",180,"FOOD00180","Tamarind","09322",1511
"Tomato puree, canned","tomato puree",0.925993150775387,"tfidf",171,"FOOD00171","Garden tomato","0310",1370
"Fish, swordfish, cooked","fish swordfish raw",0.92330486267353,"tfidf",498,"FOOD00487","Swordfish","15110",2892
"Fish, pompano, raw","fish pompano florida raw",0.794488016730807,"tfidf",371,"FOOD00366","Florida pompano","15068",2575
"Mollusks, octopus, cooked","mollusks octopus common raw",0.815651136808374,"tfidf",344,"FOOD00339","Common octopus","15166",2516
"Germ, wheat","wheat germ raw",0.954272489935355,"tfidf",575,"FOOD00561","Wheat","0085",4492
"Juice, grape","grape juice",1,"tfidf",374,"FOOD00369","Grape","1087",2580
"Juice, cherry","juice sour cherry",0.766871074223423,"tfidf",143,"FOOD00143","Prunus (Cherry, Plum)","",8872
"Beans, mung, mature, sprouted, cooked","mung beans mature seeds sprouted raw",0.88891320615843,"tfidf",200,"FOOD00200","Mung bean","11043",1566
"Seaweed, kombu, raw","kombu",0.752490265731457,"tfidf",616,"FOOD00602","Kombu","",9779
"Pigeonpeas, immature, raw (consumed canned/cooked)","pigeonpeas immature seeds raw",0.852836196759929,"tfidf",37,"FOOD00037","Pigeon pea","11344",460
"Seeds, pumpkin/squash, unroasted","seeds pumpkin squash seed kernels dried",0.595282574294978,"tfidf",66,"FOOD00066","Cucurbita","12014",696
"Blueberries, cooked","blueberry",0.896166099124112,"tfidf",191,"FOOD00191","Highbush blueberry","1038",133
"Pork, variety meat, tongue, cooked","pork fresh variety meats by products tongue cooked braised",0.751113531758393,"tfidf",549,"FOOD00536","Domestic pig","10122",4198
"Corn hominy, canned/cooked","hominy canned white",0.755536045449151,"tfidf",205,"FOOD00205","Corn","20030",1643
"Thistle leaves, cooked","thistle",0.808453704417046,"tfidf",620,"FOOD00606","Thistle","",9780
"Peaches, dried, cooked","peach dried",0.934749759709915,"tfidf",149,"FOOD00149","Peach","0051",1254
"Cheese, blue/roquefort","cheese roquefort",0.80238650844831,"tfidf",631,"FOOD00617","Cheese","01039",4769
"Celery, raw","celery raw",1,"tfidf",215,"FOOD00215","Celery stalks","0015",283
"Raspberries, cooked","raspberry",0.912824653897315,"tfidf",162,"FOOD00162","Red raspberry","878",114
"Pears, raw/frozen/canned (pears only)","pear canned",0.886932676258176,"tfidf",152,"FOOD00152","Pear","0215",1280
"Horseradish root","horseradish root whole",0.921294237422908,"tfidf",18,"FOOD00018","Horseradish","",8936
"Juice, prune","prune juice canned",0.915062735522603,"tfidf",147,"FOOD00147","European plum","09294",1237
"Sweet potatoes, canned","sweet potato",0.885138024689243,"tfidf",92,"FOOD00092","Sweet potato","501",64
"Peas, green, canned/cooked","peas green canned",0.945681024267748,"tfidf",141,"FOOD00141","Common pea","0344",1150
"Egg, whole, dried","egg whole dried",1,"tfidf",633,"FOOD00619","Eggs","01133",4861
"Squash, summer, cooked","summer squash",0.950178403400287,"tfidf",66,"FOOD00066","Cucurbita","328",47
"Juice, lemon","juice lemon raw",0.934489667181781,"tfidf",54,"FOOD00054","Lemon","",8863
"Fish, eel, smoked","eel smoked",0.914003807450522,"tfidf",591,"FOOD00577","Anguilliformes","0354",4551
"Apples, raw/frozen/canned (apples only)","apple",0.8565117726511,"tfidf",105,"FOOD00105","Apple","595",73
"Turnips, canned/cooked","turnip",0.824515026274498,"tfidf",36,"FOOD00036","Turnip","",9548
"Beans, lima, immature, cooked","lima beans immature seeds raw",0.856987518863384,"tfidf",133,"FOOD00133","Lima bean","11031",1011
"Rutabagas, cooked","rutabagas raw",0.899496257480615,"tfidf",28,"FOOD00028","Swede","11435",378
"Pomegranates, raw","pomegranates raw",1,"tfidf",151,"FOOD00151","Pomegranate","0633",1278
"Juice, watermelon","watermelon",0.889024126600343,"tfidf",52,"FOOD00052","Watermelon","274",36
"Cabbage, Chinese, raw","cabbage chinese raw",1,"tfidf",35,"FOOD00035","Chinese cabbage","",8917
"Spinach, raw","spinach raw",1,"tfidf",178,"FOOD00178","Spinach","0278",1500
"Fish, porgy/scup, raw","fish scup raw",1,"tfidf",473,"FOOD00463","Scup","15090",2843
